ED,total_workers,drove_alone,carpool,public_transit,bus,subway,railroad,streetcar,ferry,taxi,bicycle,walked,other,worked_home,pct_bus,pct_subway,pct_public_transit,pct_drove,pct_walked,pct_bicycle,pct_worked_home,bus_dependency_score,transit_reliance,bus_subway_ratio,total_tt_universe,tt_under_10,tt_10_14,tt_15_19,tt_20_24,tt_25_29,tt_30_34,tt_35_44,tt_45_59,tt_60_plus,avg_commute_time,pct_long_commute,ED_num.x,Zohran_Mamdani,Andrew_Cuomo,Irene_Estrada,Curtis_Sliwa,Eric_Adams,total_votes,Mamdani_pct,Cuomo_pct,Estrada_pct,Sliwa_pct,Adams_pct,winner,ED_num.y,total_pop,pct_white,pct_black,pct_asian,pct_hispanic,median_age,median_income,pct_poverty,pct_bachelors_plus,pct_renter,median_rent,pct_foreign_born,pct_spanish_home,pct_asian_lang_home,bangladeshi,pakistani,chinese,korean,filipino,asian_indian,vietnamese,mexican,puerto_rican,dominican,ecuadorian,colombian,salvadoran,italian,irish,polish,russian,greek,turnout_rate,turnout_strength,muslim_proxy,hindu_proxy,jewish_proxy,dist_to_mosque,mosques_nearby,dist_to_synagogue,synagogues_nearby,Mamdani_votes,Cuomo_votes,Sliwa_votes,margin,margin_votes,potential_voters,turnout_gap,support_category,turnout_category,strategic_type,south_asian_total,south_asian_pct,expected_mamdani,performance_gap
34001,2134.8455786509785,470.8565018181058,66.30907376279654,1055.3224398641853,91.07597843413576,925.6964087670682,11.949607156704978,0,26.600445506276333,2.10437682235023,34.01756366517203,112.53103537917777,8.36774298853335,385.3366230250937,4.266162355953034,43.361281866205104,49.433197905164164,25.1618000361572,5.271155745620102,1.5934437603055078,18.04985929092774,4.266162355953034,49.433197905164164,0.09838644459627918,1749.508955625885,5.87339849597611,53.20701083989508,69.11543025506333,120.89482756372969,103.47230834839266,75.97480815203879,222.17967627365275,21.944579957941386,145.5258308649826,17.051338471181154,9.572423752641587,1,482,312,1,107,0,902,53.4,34.6,0.1,11.9,0,Mamdani,1,545.8407619454811,NA,NA,NA,NA,18.505844767270116,54977.99748540915,0,27.80934927227219,26.61344918342328,1246.5612065355429,0,0,0,49.821100609806464,2.0077767088568477,54.780691527380704,15.207020334561236,4.32893963483485,19.511143665766973,1.8232829211965167,263.07694108548446,153.18053099858162,85.65995454468775,31.046995308218527,47.45096292081632,130.44900957079372,0,640.7278836016766,18.003133698105778,27.222465140955116,222.7002299451868,1.65249659403431,3.2853117789232837,2.320573389265254,4.3304853574351976e-4,1.6945614172660874,620.7656041920458,1,3487.4738050992396,0,482,312,107,18.799999999999997,170,-356.15923805451894,-0.6524965940343099,Moderate Support (50-60%),High Turnout (30%+),PROTECT & EXPAND,71.34002098443028,13.069749633603909,53.920924890081174,-0.5209248900811758
34002,2979.5412983586334,366.04155205771076,159.0933940683645,2040.7974790628634,272.11921765333744,1737.678261409526,31,0,0,27,33.50054973901241,270.0615595190796,4.491758061716275,64.67690122043112,9.132923171873543,58.32032811113497,68.4936798891526,17.62469096888709,9.063863611081707,1.1243525893555213,2.170699941499729,9.132923171873543,68.4936798891526,0.15659931052633796,2914.864397138202,2.857531148482172,27.078981021587882,27.560803077713697,120.62461121026878,252.99283426216581,58.131501667981006,454.10127609235457,16.167568929512335,268.873222925319,17.068157526985807,9.778869718079608,2,57,57,2,10,0,126,45.2,45.2,1.6,7.9,0,Mamdani,2,1644.017968847238,2.200303776476207,6.248050537850971,3.1241196424362943,87.82102342787776,33.025284441858616,72242.49726094575,0,11.17868017231881,69.67390757219599,1922.796695730188,0,0,0,4.830846750905603,0,21.291805852265508,2.0726398370463643,0.01099214248809792,39.313037973261366,0,464.9440650607339,95.07393215641297,287.987770310694,681.5570364497645,43.93003234393416,30.148443598163972,0,9.60014685860358,0,0,1.7649403783254685,0.07664149807824144,0.15237018781144007,0,0,0,1185.3594996226475,0,1339.293990549409,0,57,57,10,0,0,1518.017968847238,0.9233585019217584,Competitive (45-50%),Low Turnout (<20%),SWING - PERSUADE,44.143884724166966,2.685121790677265,45.80553653720318,-0.6055365372031787
34003,2188.4178243426268,519.1589068232067,118.91219714993395,1104.1921748729856,138.97837641064507,958.2134092127349,6.999772999077278,6.162505284866131e-4,0,13.411700834060763,44.993336011673385,208.42855834493352,19.12053279561318,160.20041749975707,6.350632628958431,43.78567011080574,50.456186318290065,29.156731263821126,9.524166547471017,2.0559755779355715,7.3203761968023295,6.350632628958431,50.456186318290065,0.1450390644447663,2028.2174068428697,23.46777760355991,48.253938006082926,28.108803262988914,138.7337594930973,256.443802579637,112.65659998157868,279.2115810085556,56.821315213304985,187.29323155361735,20.633618608123722,12.035916166744268,3,322,182,0,42,0,546,59,33.3,0,7.7,0,Mamdani,3,96.0129241983806,NA,NA,NA,NA,2.9050551079206985,6948.033916616803,0,3.4367431741880803,5.64653462266228,157.33049201274244,0,0,0,53.9544446900384,1.0932056460529904e-4,58.61797336048589,17.148570064609277,22.855018507991325,98.23193412016715,2.4410393913467738e-8,57.181870420943746,248.4393000267951,25.79455673819839,20.71154480694489,113.1206478291668,3.7487390652825453e-8,0,133.1184554528133,5.765106739601874,1.1306488075101078,54.743730653353126,5.686734411628399,11.305739215183673,0,2.092486453510636e-8,1.2720322187447048,1994.7054535647103,0,4902.684719469937,0,322,182,42,25.700000000000003,140,-449.9870758016194,-4.686734411628399,Moderate Support (50-60%),High Turnout (30%+),OPPOSITION TERRITORY,152.18648813077016,158.50625257108564,97.55187577132568,-38.55187577132568
34004,3405.340976804296,703.1848488603741,223.13023000723402,1698.726309617773,85.06089312669415,1563.5325223667287,33.13713575161756,16.995758372732624,0,21.620619201553108,40.44998541002821,157.79366623464625,103.86080615977845,455.1002713148943,2.497867135951789,45.91412528192723,49.88417668564642,27.20183045331625,4.633711199831916,1.1878395052229995,13.364308432396044,2.497867135951789,49.88417668564642,0.054403021305842084,2950.2407054894015,36.04743017460265,28.72487602594356,159.23474353759573,152.33750019065872,219.1199342044724,33.65249688089866,358.431524126638,161.78536764784775,246.0609445542697,18.090598428599424,13.824170734382902,4,483,157,1,48,0,689,70.1,22.8,0.1,7,0,Mamdani,4,1159.608788808322,NA,NA,NA,NA,35.37622669604997,81439.06381219666,0,48.01886282608,81.3030908834343,1886.7842321887288,0,0,0,29.66582417821865,4.719398588805843,17.83342888190004,17.016450411361706,34.6931129596966,54.01302640043062,3.4397327857141664,45.0412804034342,118.04809272513612,76.5884649174134,78.36745470812637,91.80706110018052,5.282446778061041,0,238.43977478306093,9.979012613158922,4.861090969502454,129.85448448470078,0.5941659003016477,1.1812552219124466,0,2.9484799960493633,5.812140373947155,1517.9262057458675,0,4569.396060090027,0,483,157,48,47.3,326,470.60878880832206,0.4058340996983522,Strong Support (60%+),High Turnout (30%+),OPPOSITION TERRITORY,88.3982491674551,7.62310962288394,52.28693288686518,17.813067113134814
34005,751.6795694054413,111.980050225567,20.068165537796425,448.31445457424417,12.072592297154936,427.36495617624,8.876906100849217,0,0,15.3456637600143,10.652287321019061,27.98453701191936,4.820838133280553,110.38311537739659,1.606082270761202,56.854672332557136,59.64169744946628,17.56708857576242,3.722934366043019,1.4171314153775312,14.684863054706506,1.606082270761202,59.64169744946628,0.02824890558451954,641.29645402804465,13.60304087856117,3.2484873739847573,37.133684590354164,26.791846585532138,33.48640229448096,12.912931229455559,136.8335708079799,28.028255689773836,74.65157076352918,22.973840227530882,16.011288665072318,5,557,222,1,61,2,843,66.1,26.3,0.1,7.2,0.2,Mamdani,5,1781.556279951798,NA,NA,NA,NA,36.688453130797775,106184.325480038,0,42.69935343357375,77.13198671501611,2108.330741283977,0,0,0,24.629673630970306,0,19.257467217043807,10.14763315228841,16.3328996991124,20.57762503466608,4.970882517121165,43.665241622275005,100.44515846944272,18.995872476141596,97.7783386978317,74.92120121203773,7.633855294150361,0,131.67183488332918,4.060567782993449,5.1748574825696405,75.58222669714766,0.47318179587501347,0.9407279465339572,0,4.26091492839937,8.396184662484341,1437.7160612859022,0,4285.893817171701,0,557,222,61,39.8,335,938.556279951798,0.5268182041249865,Strong Support (60%+),High Turnout (30%+),OPPOSITION TERRITORY,45.20729866563639,2.5375172917276307,50.76125518751829,15.338744812481709
34006,155.4167440731781,33.60974430606893,0.7910937211372403,69.0483477612157,5.634001486635428,61.51439139045311,1.8999548841271499,0,0,0,0.07717987523290148,34.7082426024764,3.206173866964565,13.840897158424797,3.6250929848219275,39.58028573902501,44.42786919323456,22.134576446285934,22.332370176365295,0.049659948606670896,8.905666658354264,3.6250929848219275,44.42786919323456,0.09158834801558018,141.5758469147533,1.0944512473991557,21.173087577574616,28.356280220928326,6.100058105441432,13.862215651737179,4.3268286608935735,9.183437743139738,1.6891409915933284,18.97120593154221,22.370420489313506,14.593129671034712,6,27,31,0,8,0,66,40.9,47,0,12.1,0,Cuomo,6,596.9200431488943,79.58088674904735,2.7874221556056997,3.782284679755499,13.7730143054198,49.4045313850862,115673.84346611904,0,56.947301597697475,56.58234405835636,2158.6678706893226,0,0,0,0.11094672496100504,0.01920231778171241,65.71881347595023,0.02133590864634712,2.4866906468207417,0.3819127647696135,0.04907258988659838,16.563527985542812,107.96739805130976,82.95856383927008,8.017584221293678,5.3989697079800285,9.126513320232062,0,6.435356717520833,0,3.249978025688302,2.8441835370481985,0.11056757225278348,0.21981827303026735,0,1.54333101256898,0,299.66140314221025,2,2494.1969712398536,0,27,31,8,-6.100000000000001,-4,530.9200431488943,0.8894324277472165,Opposition (< 45%),Low Turnout (<20%),UPHILL PERSUASION,0.5120618075123309,0.0857839862121372,60.02573519586364,-19.12573519586364
34007,1327.3554551435368,197.90038531151959,14.605481900985227,652.358796962664,72.9186382466697,579.4383982623583,0.0017604536359672074,0,0,9.009942121700835,30.779541990069973,57.10735142602697,8.01546224896836,357.57740581474604,5.493527597608319,43.65359678276226,49.147257009021715,16.009718149651555,4.302340507565965,2.318862055434997,26.93908435974134,5.493527597608319,49.147257009021715,0.1258436418182517,969.7780493287906,18.56030844701465,9.630512948922908,50.60715448685738,72.42625767128155,48.770792581056675,34.60881238842997,134.0469443808139,78.55620714030293,87.63165615363252,21.24233829393792,17.136690545734513,7,504,192,4,44,1,745,67.7,25.8,0.5,5.9,0.1,Mamdani,7,798.812826055085,56.474015626631825,0.537034123433536,9.12065214647686,31.582541837651036,33.0048724992095,103929.36520111466,0,51.51506808967952,79.59192278849022,2287.4643662575536,0,0,0,3.005365006340815,34.78663580906412,53.8213355029056,8.078233859253965,6.0110674437110045,14.067761308343398,3.727791286273496,181.3287537994203,113.42087045543376,36.040200434457475,56.07680586707181,83.03609284062689,0.00226185441213662,0,183.43534181447384,20.42758701638064,4.659164455625356,116.4334779954759,0.93263399847892,1.8541602274331224,18.52174398982574,18.636553142092392,13.667213656934337,728.262575489486,1,3656.3569482787702,0,504,192,44,41.900000000000006,312,53.812826055085,0.06736600152107997,Strong Support (60%+),High Turnout (30%+),OPPOSITION TERRITORY,51.85976212374834,6.492104336864036,51.94763130105921,15.752368698940792
34008,1357.7013044742203,202.2804440825413,36.262089823934886,809.7124549565856,21.77463947268039,771.9270511657578,16.01076431814735,0,0,27.691619640740797,19.212917181776817,50.57421731454147,8.715362608909135,199.40961542883502,1.6037871806503698,56.855440045753824,59.63848250629417,17.569588621619065,3.7249884895799457,1.4151063358679734,14.68729644522643,1.6037871806503698,59.63848250629417,0.02820815702700989,1158.2916890453853,24.625670195582504,5.880757061631643,67.00565365052574,48.416265446418635,60.478673344672295,23.32548753875814,247.0883663262333,50.58000998603739,134.7435055980075,22.964411988561277,15.999727645182418,8,567,247,0,58,2,874,64.9,28.3,0,6.6,0.2,Mamdani,8,1493.4381208732784,NA,NA,NA,NA,34.23889722486412,84845.6613204193,0,53.06788153041805,70.90857212771793,2221.940647509449,0,0,0,44.45973061252825,0,34.81445004541406,18.33303320690984,29.45969305800054,37.20913175623068,8.965993539391468,78.93743590856715,181.55686448248528,34.262903882674536,176.454905933682,135.41791481327317,13.76920436406547,0,237.94534720235805,7.351075861459366,9.34471144414908,136.62641978036612,0.5852267916456653,1.1634834703296626,0,7.685166872739076,15.155891442653042,1235.4690704043398,0,4073.862290085735,0,567,247,58,36.60000000000001,320,619.4381208732784,0.41477320835433473,Strong Support (60%+),High Turnout (30%+),OPPOSITION TERRITORY,81.66886236875894,5.46851330679865,51.64055399203959,13.259446007960412
34009,1469.767453155557,268.43894527883515,42.21643336585191,835.3052774514607,33.194597670605305,769.6682102802589,32.44122708794721,0,0.0012424126494759444,31.81144688839449,28.809521217565514,42.6010029813492,6.857902807278067,209.18042392714366,2.2584931785866713,52.36666580334181,56.832478883518576,21.136362625102162,2.898485940063907,1.9601414601821625,14.232212278074202,2.2584931785866713,56.832478883518576,0.043128450970474894,1260.5870292284133,6.013230387397225,5.501947101105597,80.69733799474444,42.21203295322561,66.51856562000854,31.939920015079252,262.11015968013567,52.8825296663369,184.7352674605499,24.78956117106433,18.849773289538696,9,379,227,0,77,0,683,55.5,33.2,0,11.3,0,Mamdani,9,875.2477847529103,71.59943007969167,5.718771183147479,8.9276129048648,12.57773434815427,32.692716208097416,139339.4259914711,0,52.35592414343527,65.76710123732876,2508.2764578899323,0,0,0,43.10998838523391,0.00196631370062307,26.730916729314956,15.006042408267833,39.58206777743881,35.355147315714284,14.32072547498318,83.33123055573805,134.03162532966834,88.12006377300939,193.06148976396747,96.7082383423224,18.322779177561824,0,234.191800968197,1.3936459140983133,8.13600991926353,117.72053648912288,0.7803504469226581,1.551406837519829,4.725203898225743,9.094049422778363,16.67001317062924,956.2633912033024,0,3688.4470233136817,0,379,227,77,22.299999999999997,152,192.24778475291032,0.2196495530773419,Moderate Support (50-60%),High Turnout (30%+),OPPOSITION TERRITORY,78.46710201464882,8.965130033068377,52.68953900992051,2.810460990079484
34010,11656.83036052728,1433.0674551626291,493.24617378350564,7764.361441168698,637.8053579518341,6883.697361528107,231.85872168875645,11,0,0,194.1100878105817,1299.6074190932507,1.5236494492950334,468.8243930331266,5.471516168851444,59.05290845475367,66.6078273512551,16.52519226383424,11.148891927723522,1.6652047066575086,4.0218856973390835,5.471516168851444,66.6078273512551,0.09265447396284839,11188.005967494151,124.24477528604935,124.72777232459994,301.66433450820693,918.7946124847034,702.0481739771503,251.2524344104101,1809.3747510107041,296.46571530483266,1151.530783520776,19.83810039574767,12.94240012950159,10,227,169,1,39,0,436,52.1,38.8,0.2,8.9,0,Mamdani,10,1509.102690555926,1.1650275160771597,0.8992323213852269,6.023693774880866,91.47959083800215,34.91804556634126,83508.614164058,0,8.415312418241383,83.26548840286274,1868.4119987138092,0,0,0,12.88543603996567,0,314.98345575699966,0.311469891930495,8.994541856296236,144.14186438398502,0.00526736763217536,1720.9464955006713,94.54000547644056,677.0898218230678,3062.34342900773,177.237336465205,51.52744168587107,0,9.271571847539445,0,0.00239425801462516,1.5412538261055588,0.28891340710510927,0.5743858249861944,6.064845622487214,0,0,441.2624845304111,1,1843.759214298924,0,227,169,39,13.300000000000004,58,1073.102690555926,0.7110865928948907,Moderate Support (50-60%),Medium Turnout (20-30%),PROTECT & EXPAND,157.0273004239507,10.405342287614946,58.12160268628448,-6.021602686284481
34011,1920.5658052404358,470.28202967259244,57.62331205946138,1148.2851969101766,150.53170003237906,980.7534926605757,17,4.21722188540192e-6,0,9.000003748641676,29.520827600783456,143.45169851607977,9.328358353244912,42.50005367619171,7.837882962491566,51.06586246534756,59.788901467316435,27.48696974045965,7.469241518549324,1.5370901387618812,2.212892344549013,7.837882962491566,59.788901467316435,0.15348576493367214,1878.065751564244,15.08587396966976,17.287166111960943,88.39869364035904,73.03296630298993,112.58628485293607,84.42624822385335,324.88436190008383,34.397906935693044,143.94472854690252,18.014067118656772,9.496080493137885,11,126,99,0,18,1,244,51.6,40.6,0,7.4,0.4,Mamdani,11,1347.2032113781092,1.778619740339766,7.249189460073972,13.035087189536949,77.93709651555555,37.599839753544,55324.7272724312,0,16.124049288940583,76.00131299622085,1710.4083569529123,0,0,0,20.035245017449636,0,41.67553068748294,16.116612794103112,36.35212430739948,84.2405943728235,1.0513865219599127e-7,197.2855729980791,75.37899254134369,392.42019014320977,241.01359350932893,169.64344245377615,6.232258560628644,0,4.3168126535391576,0,8.821010673883463e-7,12.723237324681342,0.18111595781485884,0.3600748054236378,0,0,0,1378.035529715222,0,1033.800286085729,0,126,99,18,11,27,1103.2032113781092,0.8188840421851411,Moderate Support (50-60%),Low Turnout (<20%),OPPOSITION TERRITORY,104.27583939027312,7.740171527917093,47.32205145837513,4.277948541624873
34012,4195.370541100816,734.7877962542163,163.41630874438363,2067.476995955565,54.58513104575958,2012.8236010407868,0.06463849228020514,0.0036253767388901253,0,7.315338628419838,46.793361757135045,315.84987065307075,20.480597215108048,819.24738696315,1.3010800955721324,47.977254483763566,49.279961703050986,21.409410591964583,7.52853335739435,1.1153570655729736,19.527414299576723,1.3010800955721324,49.279961703050986,0.027118685918395835,3376.1231541376656,123.22857164214803,82.96949370434879,109.77588999939655,128.58879746857514,149.3084343882699,157.4803067269156,437.2539458206237,148.95761275040076,485.56909917975736,22.032603157577608,18.794536898113538,12,674,248,0,52,2,976,69.1,25.4,0,5.3,0.2,Mamdani,12,1258.1096529362037,64.49241954612653,5.354898244308024,10.29519225047756,14.916030081120962,36.21612992085061,99901.21189325728,0,46.83265466454084,70.21746910360652,2082.872835457025,0,0,0,50.885643126363846,2.725534647108854,61.6341852003558,32.9056730715087,17.939053980452826,7.185969805016104,21.770912854605797,48.92071263058607,130.90688023119034,70.763392296616,5.548591000990254,37.19619397603211,0.01032708460672623,0,571.5411019202131,17.33542589312627,4.023438231081525,215.6895218866269,0.7757670388444997,1.5422946102383044,6.686497172302945,0.00576985953005235,0.0088952001088307,1063.5580241096184,0,4514.897819895407,0,674,248,52,43.7,426,282.1096529362037,0.2242329611555003,Strong Support (60%+),High Turnout (30%+),OPPOSITION TERRITORY,60.7971475784888,4.832420404421753,51.44972612132653,17.650273878673467
34013,3157.2708791769414,427.45379339257727,73.5870146746202,1744.1500672415677,94.75848221562197,1645.4556334061194,3.9359516198263234,0,0,24.709200097614303,67.67644900203713,146.43343617455835,13.785191338510296,659.4726261694107,3.001278187455498,52.11639090767745,55.24233219090294,15.869427339025538,4.637975067021541,2.143511012893499,20.887426242670898,3.001278187455498,55.24233219090294,0.057587989789472716,2497.7982530075305,28.004679702953382,42.92779857226836,98.27960938595653,182.96278781241216,106.50418109669323,115.38584757915703,393.9490173146264,194.1952364267712,226.08357017394934,21.780798353009473,16.825970876337763,13,573,226,0,64,1,864,66.3,26.2,0,7.4,0.1,Mamdani,13,1094.4545741071784,63.21776381586417,2.781166019686136,4.41217126645961,26.001650947794392,35.20225970919409,103948.77757567132,0,47.6787832057022,80.42331590369781,2118.4655544592424,0,0,0,0.14684934001018496,77.17600461393216,119.40917081033024,31.646207402967978,0.05937575971334627,17.330613641221518,11.804627073446571,195.3401575570404,185.54029180213823,112.16815603666888,54.0003370805702,123.69965769108524,0.01110963206648403,0,496.97314203835424,5.429098750027207,10.341239317237369,200.29051830013435,0.7894343177329438,1.569466389278657,17.404764800979464,41.349893338222216,30.32826853713656,598.266465349678,1,4009.451555267796,0,573,226,64,40.099999999999994,347,230.45457410717836,0.2105656822670562,Strong Support (60%+),High Turnout (30%+),OPPOSITION TERRITORY,94.65346759516387,8.648460140283044,52.59453804208491,13.705461957915084
34014,1811.424515657749,454.46255370947,63.292328388914335,810.6050075981531,51.94856446780407,738.7496468504373,19.906406287130974,0,3.8999278069746097e-4,9.447195886632352,26.332596719441373,57.273803965138725,4.199402705088759,375.518112281062,2.8678293806209725,40.782800523277054,44.74958799504892,28.582746762173613,3.161810137274307,1.4536955027286744,20.73054157295133,2.8678293806209725,44.74958799504892,0.07031957942623727,1435.906403376687,9.577978408246445,21.85011488854258,78.23738555442992,43.27614560162727,121.64555544267327,25.56961763456814,217.78184583980823,16.396244265339433,160.20389768942886,19.057036152219712,12.298861648605662,14,562,339,1,92,0,994,56.5,34.1,0.1,9.3,0,Mamdani,14,1575.7816764638767,69.95035313958488,0.11158277813236205,6.315854781626094,19.995086894407315,36.13021994049701,104502.6063494981,0,49.01015770016669,67.83826876400198,2219.5346525708146,0,0,0,2.002764527223575,0.02421968089797883,29.352564404050845,29.718474911968357,26.729289071576716,58.29620850909849,5.480463115224556,182.6346407008522,105.9626400383284,133.8958820899797,44.88378919946407,75.50679786200905,20.142462733072044,0,356.03283857546785,22.474874974760553,0.00805776058000563,183.9258377770371,0.6307980444540894,1.2540832175075367,44.16110108640872,1.3565908595133649,2.9904042661325168,804.9143212537648,0,3210.2118100550733,0,562,339,92,22.4,223,581.7816764638767,0.3692019555459106,Moderate Support (50-60%),High Turnout (30%+),OPPOSITION TERRITORY,60.323192717220046,3.8281440645120295,51.14844321935361,5.351556780646391
